"kingdom" "supergroup" "division" "class" "order" "family" "genus" "species"
"asv_023_00125" "Eukaryota" "Hacrobia" "Haptophyta" "Prymnesiophyceae" "Phaeocystales" "Phaeocystaceae" "Phaeocystis" "Phaeocystis_sp."
"asv_023_00126" "Eukaryota" "Rhizaria" "Cercozoa" "Filosa-Thecofilosea" "Ebriida" "TAGIRI1-lineage" "TAGIRI1-lineage_X" "TAGIRI1-lineage_X_sp."
"asv_023_00127" "Eukaryota" "Hacrobia" "Haptophyta" "Prymnesiophyceae" "Prymnesiales" "Chrysochromulinaceae" "Chrysochromulina" "Chrysochromulina_leadbeateri"
"asv_023_00128" "Eukaryota" "Alveolata" "Ciliophora" "CONTH_7" "CONTH_7_X" "CONTH_7_XX" "CONTH_7_XXX" "CONTH_7_XXX_sp."
"asv_023_00129" "Eukaryota" "Stramenopiles" "Pseudofungi" "MAST-1" "MAST-1C" "MAST-1C_X" "MAST-1C_XX" "MAST-1C_XX_sp."
"asv_023_00130" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Heterocapsaceae" "Heterocapsa" "Heterocapsa_pygmaea"
"asv_023_00131" "Eukaryota" "Opisthokonta" "Choanoflagellida" "Choanoflagellatea" "Acanthoecida" "Stephanoecidae_Group_D" "Stephanoecidae_Group_D_X" "Stephanoecidae_Group_D_X_sp."
"asv_023_00132" "Eukaryota" "Stramenopiles" "Pseudofungi" "MAST-1" "MAST-1C" "MAST-1C_X" "MAST-1C_XX" "MAST-1C_XX_sp."
"asv_023_00133" "Eukaryota" "Stramenopiles" "Ochrophyta" "Pelagophyceae" "Pelagomonadales" "Pelagomonadaceae" "Pelagomonas" "Pelagomonas_calceolata"
"asv_023_00134" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Kareniaceae" "Karlodinium" "Karlodinium_veneficum"
"asv_023_00135" "Eukaryota" "Rhizaria" "Cercozoa" "Filosa-Thecofilosea" "Cryomonadida" "Cryothecomonas-lineage" "Cryothecomonas" "Cryothecomonas_aestivalis"
"asv_023_00136" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Polar-centric-Mediophyceae" "Chaetoceros" "Chaetoceros_decipiens"
"asv_023_00137" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Polar-centric-Mediophyceae" "Detonula" "Detonula_confervacea"
"asv_023_00138" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida" "Strombidiidae_B" "Strombidiidae_B_X" "Strombidiidae_B_X_sp."
"asv_023_00139" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida_G" "Strombidiida_G_X" "Strombidiida_G_XX" "Strombidiida_G_XX_sp."
"asv_023_00140" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Leegaardiellidae_B" "Leegaardiella" "Leegaardiella_sp."
"asv_023_00141" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Leegaardiellidae_A" "Leegaardiellidae_A_X" "Leegaardiellidae_A_X_sp."
"asv_023_00142" "Eukaryota" "Alveolata" "Dinoflagellata" "Syndiniales" "Dino-Group-I" "Dino-Group-I-Clade-1" "Dino-Group-I-Clade-1_X" "Dino-Group-I-Clade-1_X_sp."
"asv_023_00143" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Dinophyceae_X" "Dinophyceae_XX" "Dinophyceae_XXX" "Dinophyceae_XXX_sp."
"asv_023_00144" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida" "Strombidiidae_H" "Strombidiidae_H_X" "Strombidiidae_H_X_sp."
"asv_023_00145" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Dinophyceae_X" "Dinophyceae_XX" "Dinophyceae_XXX" "Dinophyceae_XXX_sp."
"asv_023_00146" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Heterocapsaceae" "Heterocapsa" "Heterocapsa_nei/rotundata"
"asv_023_00147" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_I" "Strobilidiidae_I_X" "Strobilidiidae_I_X_sp."
"asv_023_00148" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Margalefidinium" "Margalefidinium_fulvescens"
"asv_023_00149" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Plagioselmis" "Plagioselmis_prolonga"
"asv_023_00150" "Eukaryota" "Alveolata" "Ciliophora" "Litostomatea" "Haptoria_5" "Pleurostomatida" "Pleurostomatida_X" "Pleurostomatida_X_sp."
"asv_023_00151" "Eukaryota" "Stramenopiles" "Ochrophyta" "Dictyochophyceae" "Dictyochophyceae_X" "Florenciellales" "Florenciella" "Florenciella_parvula"
"asv_023_00152" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Margalefidinium" "Margalefidinium_polykrikoides"
